{0: 28.69, 1: 28.92, 2: 29.07, 3: 29.09, 4: 29.02, 5: 28.89, 6: 28.77, 7: 28.73, 8: 28.79}
{0: 29.3, 1: 29.73, 2: 30.25, 3: 30.8, 4: 31.35, 5: 31.81, 6: 32.14, 7: 32.28, 8: 32.23}
{0: 31.68, 1: 31.29, 2: 30.93, 3: 30.63, 4: 30.44, 5: 30.31, 6: 30.22, 7: 30.14, 8: 30.06}
{0: 29.93, 1: 29.88, 2: 29.85, 3: 29.85, 4: 29.89, 5: 29.96, 6: 30.04, 7: 30.15, 8: 30.27}
{0: 30.51, 1: 30.6, 2: 30.65, 3: 30.69, 4: 30.7, 5: 30.67, 6: 30.59, 7: 30.45, 8: 30.27}
{0: 29.86, 1: 29.66, 2: 29.51, 3: 29.44, 4: 29.43, 5: 29.45, 6: 29.5, 7: 29.55, 8: 29.58}
{0: 29.48, 1: 29.37, 2: 29.22, 3: 29, 4: 28.73, 5: 28.4, 6: 28.06, 7: 27.71, 8: 27.39}
{0: 26.81, 1: 26.58, 2: 26.4, 3: 26.26, 4: 26.16, 5: 26.1, 6: 26.06, 7: 26.03, 8: 26.01}
{0: 25.94, 1: 25.91, 2: 25.88, 3: 25.87, 4: 25.87, 5: 25.89, 6: 25.91, 7: 25.91, 8: 25.87}
{0: 25.67, 1: 25.54, 2: 25.38, 3: 25.2, 4: 24.96, 5: 24.69, 6: 24.41, 7: 24.15, 8: 23.95}
{0: 23.77, 1: 23.76, 2: 23.81, 3: 23.87, 4: 23.94, 5: 24.01, 6: 24.08, 7: 24.07, 8: 23.99}
{0: 23.68, 1: 23.46, 2: 23.18, 3: 22.85, 4: 22.48, 5: 22.09, 6: 21.72, 7: 21.43, 8: 21.23}
{0: 21.14, 1: 21.23, 2: 21.37, 3: 21.5, 4: 21.6, 5: 21.65, 6: 21.62, 7: 21.5, 8: 21.31}
{0: 20.75, 1: 20.43, 2: 20.11, 3: 19.78, 4: 19.48, 5: 19.22, 6: 19, 7: 18.83, 8: 18.7}
{0: 18.49, 1: 18.34, 2: 18.17, 3: 17.95, 4: 17.72, 5: 17.5, 6: 17.31, 7: 17.16, 8: 17.04}
{0: 16.83, 1: 16.74, 2: 16.66, 3: 16.6, 4: 16.55, 5: 16.53, 6: 16.51, 7: 16.47, 8: 16.42}
{0: 16.28, 1: 16.21, 2: 16.12, 3: 16.03, 4: 15.94, 5: 15.87, 6: 15.85, 7: 15.88, 8: 15.91}
{0: 15.88, 1: 15.82, 2: 15.74, 3: 15.68, 4: 15.64, 5: 15.62, 6: 15.61, 7: 15.62, 8: 15.66}
{0: 15.88, 1: 16, 2: 16.07, 3: 16.11, 4: 16.11, 5: 16.06, 6: 15.97, 7: 15.87, 8: 15.79}
{0: 15.64, 1: 15.56, 2: 15.48, 3: 15.4, 4: 15.33, 5: 15.28, 6: 15.23, 7: 15.19, 8: 15.14}
